Animal/Plant,Scientific Name,Author,RANK_NAME,REC_ID,Common Name,LISTING,EFFECTIVE_FROM,Change Type,Type of Change,Relevant Listing
Plant,Adenia olaboensis,Claverie,SPECIES,32589,,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Aniba rosaeodora,Ducke,SPECIES,77553,Brazilian rosewood,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Euphorbia misera,Benth.,SPECIES,85319,Cliff Spurge,II,23/06/2010,Deleted from Appendix II,DELETION,II
Plant,Bulnesia sarmientoi,Lorentz & Griseb.,SPECIES,44025,Holy wood,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Cedrela fissilis,Vellozo,SPECIES,75867,,III,14/10/2010,Included in Appendix III,NEW,III
Plant,Orothamnus zeyheri,Pappe ex Hook.f.,SPECIES,5823,Marsh Rose,II,23/06/2010,Deleted from Appendix II,DELETION,II
Plant,Cedrela lilloi,C. de Candolle,SPECIES,61851,,III,14/10/2010,Included in Appendix III,NEW,III
Plant,Cedrela odorata,L.,SPECIES,49569,West Indian Cedar,III,27/04/2011,Included in Appendix III,NEW,III
Plant,Cedrela odorata,L.,SPECIES,49569,West Indian Cedar,III,14/10/2010,Included in Appendix III,NEW,III
Plant,Abdominea minimiflora,(Hook.f.) J.J. Smith,Species,50398,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acampe congesta,,Species,184677,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acampe multiflora,(Lindl.) Lindl,Species,105654,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acampe papillosa,,Species,184748,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Cyphostemma elephantopus,Descoings 1962,SPECIES,9374,,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Cyphostemma montagnacii,Descoings,SPECIES,9377,,II,23/06/2010,Included in Appendix II,NEW,II
Plant,Dalbergia darienensis,Rudd,SPECIES,54932,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Dalbergia louvelii,R.Vig.,SPECIES,171388,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Dalbergia monticola,Bosser & Rabevohitra,SPECIES,172202,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Protea odorata,Thunb.,SPECIES,5894,Ground-rose,II,23/06/2010,Deleted from Appendix II,DELETION,II
Plant,Dalbergia normandii,Bosser & Rabevohitra,SPECIES,171320,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Dalbergia purpurascens,0,SPECIES,172353,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Aa nervosa,(Kranzlin) Schltr.,Species,44178,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acampe praemorsa,(Roxb.) Blatter & Mccann,Species,34410,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acampe rigida,Buch-Harn. ex J.E.Sm. P.F.Hunt,Species,69686,Banana Orchid,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Dalbergia retusa,Hemsl.,SPECIES,61651,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Dalbergia xerophila,0,SPECIES,167996,Palisandre,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros aculeata,H.Perrier,SPECIES,192592,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros aculeata aculeata,0,SUBSPECIES,160556,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Acanthephippium parviflorum,Hassk.,Species,50400,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium sinense,Rolfe,Species,105553,Jug Orchid,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium striatum,Lindley,Species,50401,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium sylhetnese,Lindley,Species,31349,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Diospyros baroniana,H.Perr.,SPECIES,160587,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros bemarivensis,H.Perr.,SPECIES,160584,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Acanthephippium unguiculatum,(Hayata) Fuk.,Species,105656,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthephippium vitiense,L.O. Williams,Species,30370,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Diospyros coursiana,H.Perr.,SPECIES,160591,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros cupulifera,H.Perr.,SPECIES,160599,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros danguyana,H.Perr.,SPECIES,160555,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Acanthephippium yamamotoi,Hayata,Species,63003,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocalycium ferrarii,Rausch,Species,11381,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocalycium klimpelianum,(Wiedlich & Werdermann) Backeberg,Species,11383,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocalycium spiniflorum,(Schumann) Backeberg,Species,106025,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocereus baxaniensis,(Karwinsky ex Pfeiffer) Borg,Species,27379,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Acanthocereus colombianus,Britton & Rose,Species,106028,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Diospyros aculeata meridionalis,H.Perr.,SUBSPECIES,160557,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros anosivolensis,H.Perrier,SPECIES,192536,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros bernieri,Hiern,SPECIES,160611,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros bernieriana,(Baill.) H.Perrier,SPECIES,192537,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros bezofensis,H.Perr.,SPECIES,160578,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros boinensis,(H. Perrier),SPECIES,192538,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros boivini,Hiern,SPECIES,160573,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros calophylla,Hiern,SPECIES,160550,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Agrostophyllum latilobum,J.J. Smith,Species,49745,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum laxum,J.J. Smith,Species,50411,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum longifolium,(Blume) Reichb.f.,Species,50412,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum majus,Hook.f.,Species,40128,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum megalurum,Reichb.f.,Species,43829,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum occidentale,Schltr.,Species,12181,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum tenue,J.J. Smith,Species,50413,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Agrostophyllum zeylanicum,Hook.f.,Species,24261,,II,23/06/2010,Change in Annotation,ANNOTATION,II
Plant,Diospyros clusiifolia,(Hiern) G.E.Schatz & Lowry,SPECIES,192541,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros conifera,H.Perr.,SPECIES,160552,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros decaryana,H.Perr.,SPECIES,160547,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros dycorypheoides,H.Perrier,SPECIES,192542,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros dycorypheoides var. meridionalis,H.Perrier,VARIETY,192543,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros ebenifera,(Hiern) G.E.Schatz & Lowry,SPECIES,192544,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros enervis,(H.Perrier),SPECIES,192545,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros erinacea,(H.Perrier),SPECIES,192547,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros erythrosperma,H.Perr.,SPECIES,160562,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros filipes,H.Perrier,SPECIES,192548,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros fuscovelutina,Baker,SPECIES,160604,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros geayana,H.Perrier,SPECIES,192549,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros gneissicola,(H.Perrier),SPECIES,192550,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros gracilipes,Hiern,SPECIES,160588,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros greveana,(Pierre) H.Perr.,SPECIES,160564,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros greveana boinensis,H.Perr.,SUBSPECIES,160565,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros haplostylis,Boivin ex Hiern,SPECIES,160581,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros haplostylis var. hildebrandtii,Garcke,VARIETY,160582,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros hazomainty,H.Perr.,SPECIES,160606,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros hemiteles,I. Richardson,SPECIES,14535,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros heterosepala,H.Perrier,SPECIES,192552,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros humbertiana,H.Perr.,SPECIES,160559,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros humbertii,(H.Perrier),SPECIES,192554,,III,22/12/2011,Included in Appendix III,NEW,III
Plant,Diospyros implexicalyx,H.Perr.,SPECIES,160592,,III,22/12/2011,Included in Appendix III,NEW,III
